Parasitoid,Parasitoid_genus,Parasitoid_species,Host,superfamily,family,subfamily,Host_genus,Host_species,No_records,Method,Reference
Aleiodes abraxanae,Aleiodes,abraxanae,Abraxas grossulariata,Geometroidea,Geometridae,Ennominae,Abraxas,grossulariata,77,Museum,"van Achtenberg and Shaw, 2016"
Aleiodes albitibia,Aleiodes,albitibia,Notodonta dromedarius,Noctuoidea,Notodontidae,Notodontinae,Notodonta,dromedarius,12,Museum,"van Achtenberg and Shaw, 2016"
Aleiodes albitibia,Aleiodes,albitibia,Notodonta ziczac,Noctuoidea,Notodontidae,Notodontinae,Notodonta,ziczac,2,Museum,"van Achtenberg and Shaw, 2016"
Aleiodes albitibia,Aleiodes,albitibia,Pheosia tremula,Noctuoidea,Notodontidae,Notodontinae,Pheosia,tremula,8,Museum,"van Achtenberg and Shaw, 2016"
Aleiodes albitibia,Aleiodes,albitibia,Pheosia gnoma,Noctuoidea,Notodontidae,Notodontinae,Pheosia,gnoma,2,Museum,"van Achtenberg and Shaw, 2016"
Aleiodes albitibia,Aleiodes,albitibia,Notodonta ziczac,Noctuoidea,Notodontidae,Notodontinae,Notodonta,ziczac,8,Reared,"van Achtenberg and Shaw, 2016"
Aleiodes alternator,Aleiodes,alternator,Lasiocampa quercus,Bombycoidea,Lasiocampidae,Lasiocampinae,Lasiocampa,quercus,79,NA,"Shaw, 1994"
Aleiodes alternator,Aleiodes,alternator,Macrothylacia rubi,Bombycoidea,Lasiocampidae,Lasiocampinae,Macrothylacia,rubi,1,NA,"Shaw, 1994"
Aleiodes alternator,Aleiodes,alternator,Euthrix potatoria,Bombycoidea,Lasiocampidae,Lasiocampinae,Euthrix,potatoria,71,NA,"Shaw, 1994"
Aleiodes alternator,Aleiodes,alternator,Orgyia antiqua,Noctuoidea,Erebidae,Lymantriinae,Orgyia,antiqua,16,NA,"Shaw, 1994"
Aleiodes alternator,Aleiodes,alternator,Orgyia dubia,Noctuoidea,Erebidae,Lymantriinae,Orgyia,dubia,4,NA,"Shaw, 1994"
Aleiodes alternator,Aleiodes,alternator,Dicallomera fascelina,Noctuoidea,Erebidae,Lymantriinae,Dicallomera,fascelina,4,NA,"Shaw, 1994"
Aleiodes alternator,Aleiodes,alternator,Arctia caja,Noctuoidea,Erebidae,Arctiinae,Arctia,caja,9,NA,"Shaw, 1994"
Aleiodes alternator,Aleiodes,alternator,Arctia villica,Noctuoidea,Erebidae,Arctiinae,Arctia,villica,5,NA,"Shaw, 1994"
Aleiodes alternator,Aleiodes,alternator,Arctia flavia,Noctuoidea,Erebidae,Arctiinae,Arctia,flavia,1,NA,"Shaw, 1994"
Aleiodes alternator,Aleiodes,alternator,Diacrisia sannio,Noctuoidea,Erebidae,Arctiinae,Diacrisia,sannio,2,NA,"Shaw, 1994"
Aleiodes alternator,Aleiodes,alternator,Spilosoma lubricipeda,Noctuoidea,Erebidae,Arctiinae,Spilosoma,lubricipeda,2,NA,"Shaw, 1994"
Aleiodes alternator,Aleiodes,alternator,Spilosoma luteum,Noctuoidea,Erebidae,Arctiinae,Spilosoma,luteum,NA,NA,"Shaw, 1994"
Aleiodes alternator,Aleiodes,alternator,Spilosoma urticae,Noctuoidea,Erebidae,Arctiinae,Spilosoma,urticae,2,NA,"Shaw, 1994"
Aleiodes alternator,Aleiodes,alternator,Diaphora mendica,Noctuoidea,Erebidae,Arctiinae,Diaphora,mendica,3,NA,"Shaw, 1994"
Aleiodes alternator,Aleiodes,alternator,Phragmatobia fuliginosa,Noctuoidea,Erebidae,Arctiinae,Phragmatobia,fuliginosa,17,NA,"Shaw, 1994"
